Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USD
2020-05-12 03-AM,BTCUSD,8643.22,8740,8637.71,8715.85,464.11,4036018.93
2020-05-12 03-PM,BTCUSD,8891.97,8949.15,8858.36,8880.66,945.46,8417417.96
2020-05-12 04-AM,BTCUSD,8715.85,8752.77,8665.1,8704.39,356.99,3110331.5
2020-05-12 04-PM,BTCUSD,8880.66,8965.26,8873.41,8934.37,772.08,6892015.22
2020-05-12 05-AM,BTCUSD,8704.39,8784.28,8702.43,8736.69,373.99,3270364.37
2020-05-12 05-PM,BTCUSD,8934.37,8984.87,8836.87,8878.71,937.16,8354392.13
2020-05-12 06-AM,BTCUSD,8736.69,8770.59,8653.97,8698.59,334.6,2912495.02
2020-05-12 06-PM,BTCUSD,8878.71,8919.05,8842.43,8908.1,354.05,3143006.61
2020-05-12 07-AM,BTCUSD,8698.59,8722.07,8620.7,8663.98,307.47,2663410.72
2020-05-12 07-PM,BTCUSD,8908.1,8938.42,8777.55,8800.6,633.92,5624833.45
2020-05-12 08-AM,BTCUSD,8663.98,8769.62,8637.99,8758.29,750.24,6551080.74
2020-05-12 08-PM,BTCUSD,8800.6,8849.27,8771.77,8817.13,559.12,4927234.74
2020-05-12 09-AM,BTCUSD,8758.29,8834.8,8745.92,8794.47,820.67,7217922.49
2020-05-12 09-PM,BTCUSD,8817.13,8860.57,8746.81,8779.02,391.72,3448799.51
2020-05-12 10-AM,BTCUSD,8794.47,8827.36,8732.14,8781.15,701.07,6146826.61
2020-05-12 10-PM,BTCUSD,8779.02,8837.13,8748.45,8820.11,302.8,2663785.59
2020-05-12 11-AM,BTCUSD,8781.15,8816.2,8731.75,8809.64,610.6,5351688.65
2020-05-12 11-PM,BTCUSD,8820.11,8853.04,8787.64,8825.46,230.47,2032992.02
2020-05-12 12-AM,BTCUSD,8571.98,8683.64,8534.97,8614.47,751.68,6473030.14
2020-05-12 12-PM,BTCUSD,8809.64,8826.12,8735,8779.37,296.15,2596517.35
2020-05-13 01-AM,BTCUSD,8945.21,8965.36,8898.49,8950.32,327.32,2923206.32
2020-05-13 01-PM,BTCUSD,9094.88,9128.05,9047.39,9085.65,619.27,5628708.31
2020-05-13 02-AM,BTCUSD,8950.32,8982.25,8890.29,8945.8,345.37,3087123.47
2020-05-13 02-PM,BTCUSD,9085.65,9145,9044.66,9093.55,748.73,6814664.2
2020-05-13 03-AM,BTCUSD,8945.8,8963.2,8898.27,8913.07,313.35,2797136.85
2020-05-13 03-PM,BTCUSD,9093.55,9195,9090.87,9147,936.15,8563417.3
2020-05-13 04-AM,BTCUSD,8913.07,8942.17,8878.35,8933.06,299.9,2669992.38
2020-05-13 04-PM,BTCUSD,9147,9176.64,9057.15,9122.58,808.12,7360367.15
2020-05-13 05-AM,BTCUSD,8933.06,8943.78,8874.2,8879.67,248.84,2216049.21
2020-05-13 05-PM,BTCUSD,9122.58,9128.03,9057.15,9093,306.15,2780838.72
2020-05-13 06-AM,BTCUSD,8879.67,8927,8873.32,8917,164.28,1462752.26
2020-05-13 06-PM,BTCUSD,9093,9120.97,9078.2,9083.5,376.49,3426988.84
2020-05-13 07-AM,BTCUSD,8917,8924.39,8863.67,8880.64,326.69,2904792.07
2020-05-13 07-PM,BTCUSD,9083.5,9171.96,9082.07,9163.33,535.57,4891060.6
2020-05-13 08-AM,BTCUSD,8880.64,8920.26,8830.91,8911,414.52,3675623.74
2020-05-13 08-PM,BTCUSD,9163.33,9345,9155,9294.99,1097.07,10170049.6
2020-05-13 09-AM,BTCUSD,8911,8938.42,8897.22,8918.45,328.49,2928751.79
2020-05-13 09-PM,BTCUSD,9294.99,9418.46,9268.82,9369.3,853.98,7998862.76
2020-05-13 10-AM,BTCUSD,8918.45,8969,8900.31,8955.42,217.65,1943965.03
2020-05-13 10-PM,BTCUSD,9369.3,9380.71,9273.54,9324.62,781.91,7293481.35
2020-05-13 11-AM,BTCUSD,8955.42,9056.45,8933.01,9042.44,834.31,7507254.89
